state_name,state_median_income,rs_state_median_income,income,pid
Oklahoma,66.1,-0.5953422241596087,1.5,7. Strong Republican
Idaho,81.2,-0.010181985709941072,1.5,4. Independent
Virginia,92.1,0.41221845131663964,1.5,1. Strong Democrat
California,100.1,0.7222371206939469,-0.5,6. Not very strong Republican
Colorado,97.1,0.6059801196774566,-0.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,-0.5,3. Independent (leans Democrat)
Wisconsin,77.5,-0.15356562029694576,-0.5,4. Independent
California,100.1,0.7222371206939469,-2.5,3. Independent (leans Democrat)
Maryland,102.9,0.8307436549760048,0.5,1. Strong Democrat
Wisconsin,77.5,-0.15356562029694576,1.5,2. Not very strong Democrat
Virginia,92.1,0.41221845131663964,2.5,3. Independent (leans Democrat)
Nevada,81.1,-0.014057219077157743,-0.5,7. Strong Republican
Massachusetts,104.8,0.9043730889531149,2.5,3. Independent (leans Democrat)
New Hampshire,99.8,0.7106114205922979,1.5,1. Strong Democrat
Nevada,81.1,-0.014057219077157743,0.5,2. Not very strong Democrat
New York,85.8,0.16807874918201032,1.5,3. Independent (leans Democrat)
Georgia,80,-0.05668478611653726,-0.5,1. Strong Democrat
Virginia,92.1,0.41221845131663964,1.5,6. Not very strong Republican
New York,85.8,0.16807874918201032,1.5,5. Independent (leans Republican)
Arizona,81.5,0.0014437143917078365,-1.5,2. Not very strong Democrat
Idaho,81.2,-0.010181985709941072,-1.5,1. Strong Democrat
Wisconsin,77.5,-0.15356562029694576,1.5,7. Strong Republican
New York,85.8,0.16807874918201032,1.5,3. Independent (leans Democrat)
Illinois,83.2,0.06732268163438572,2.5,2. Not very strong Democrat
Ohio,72.2,-0.3589529887594117,0.5,2. Not very strong Democrat
Arkansas,62.1,-0.750351558848262,-0.5,1. Strong Democrat
Georgia,80,-0.05668478611653726,1.5,6. Not very strong Republican
Texas,79.7,-0.06831048621818617,1.5,7. Strong Republican
New Mexico,67.8,-0.5294632569169309,-2.5,7. Strong Republican
Kansas,75.5,-0.23107028764127255,1.5,7. Strong Republican
Missouri,71.6,-0.38220438896271003,-2.5,7. Strong Republican
Minnesota,87.1,0.21845678295582263,2.5,3. Independent (leans Democrat)
California,100.1,0.7222371206939469,0.5,7. Strong Republican
Missouri,71.6,-0.38220438896271003,1.5,3. Independent (leans Democrat)
Kentucky,64.5,-0.6573459580350699,-2.5,3. Independent (leans Democrat)
Georgia,80,-0.05668478611653726,-0.5,1. Strong Democrat
New York,85.8,0.16807874918201032,1.5,3. Independent (leans Democrat)
Ohio,72.2,-0.3589529887594117,-2.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,0.5,5. Independent (leans Republican)
Montana,75.3,-0.23882075437570532,1.5,2. Not very strong Democrat
Tennessee,72,-0.3667034554938444,1.5,1. Strong Democrat
Louisiana,61,-0.7929791258876419,-0.5,1. Strong Democrat
New Jersey,104.3,0.8849969221170332,2.5,3. Independent (leans Democrat)
California,100.1,0.7222371206939469,0.5,2. Not very strong Democrat
California,100.1,0.7222371206939469,1.5,1. Strong Democrat
Colorado,97.1,0.6059801196774566,1.5,1. Strong Democrat
Illinois,83.2,0.06732268163438572,0.5,2. Not very strong Democrat
Minnesota,87.1,0.21845678295582263,0.5,2. Not very strong Democrat
Pennsylvania,77.5,-0.15356562029694576,-0.5,1. Strong Democrat
Pennsylvania,77.5,-0.15356562029694576,-2.5,7. Strong Republican
Pennsylvania,77.5,-0.15356562029694576,1.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,2.5,1. Strong Democrat
Oklahoma,66.1,-0.5953422241596087,1.5,3. Independent (leans Democrat)
Arizona,81.5,0.0014437143917078365,0.5,7. Strong Republican
Delaware,87.5,0.2339577164246882,0.5,2. Not very strong Democrat
District of Columbia,109.7,1.0942595239467157,-1.5,2. Not very strong Democrat
Indiana,72,-0.3667034554938444,1.5,3. Independent (leans Democrat)
Nevada,81.1,-0.014057219077157743,0.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,0.5,3. Independent (leans Democrat)
West Virginia,60.8,-0.8007295926220745,1.5,3. Independent (leans Democrat)
Massachusetts,104.8,0.9043730889531149,0.5,7. Strong Republican
Ohio,72.2,-0.3589529887594117,2.5,6. Not very strong Republican
Virginia,92.1,0.41221845131663964,2.5,6. Not very strong Republican
