case_id,justice,appointed_by,cons_vote
Case 1,Rehnquist,Nixon,1
Case 1,Stevens,Ford,0
Case 1,O'Connor,Reagan,0
Case 1,Scalia,Reagan,1
Case 1,Kennedy,Reagan,0
Case 1,Souter,Bush (41),0
Case 1,Thomas,Bush (41),1
Case 1,Ginsburg,Clinton,0
Case 1,Breyer,Clinton,0
Case 2,Rehnquist,Nixon,1
Case 2,Stevens,Ford,0
Case 2,O'Connor,Reagan,1
Case 2,Scalia,Reagan,1
Case 2,Kennedy,Reagan,1
Case 2,Souter,Bush (41),0
Case 2,Thomas,Bush (41),1
Case 2,Ginsburg,Clinton,0
Case 2,Breyer,Clinton,0
Case 3,Rehnquist,Nixon,1
Case 3,Stevens,Ford,0
Case 3,O'Connor,Reagan,1
Case 3,Scalia,Reagan,1
Case 3,Kennedy,Reagan,1
Case 3,Souter,Bush (41),0
Case 3,Thomas,Bush (41),1
Case 3,Ginsburg,Clinton,0
Case 3,Breyer,Clinton,0
Case 4,Rehnquist,Nixon,1
Case 4,Stevens,Ford,1
Case 4,O'Connor,Reagan,1
Case 4,Scalia,Reagan,1
Case 4,Kennedy,Reagan,1
Case 4,Souter,Bush (41),1
Case 4,Thomas,Bush (41),1
Case 4,Ginsburg,Clinton,1
Case 4,Breyer,Clinton,0
Case 5,Rehnquist,Nixon,0
Case 5,Stevens,Ford,0
Case 5,O'Connor,Reagan,1
Case 5,Scalia,Reagan,1
Case 5,Kennedy,Reagan,0
Case 5,Souter,Bush (41),1
Case 5,Thomas,Bush (41),1
Case 5,Ginsburg,Clinton,1
Case 5,Breyer,Clinton,1
Case 6,Rehnquist,Nixon,1
Case 6,Stevens,Ford,0
Case 6,O'Connor,Reagan,1
Case 6,Scalia,Reagan,1
Case 6,Kennedy,Reagan,1
Case 6,Souter,Bush (41),1
Case 6,Thomas,Bush (41),1
Case 6,Ginsburg,Clinton,1
Case 6,Breyer,Clinton,1
Case 7,Rehnquist,Nixon,1
Case 7,Stevens,Ford,0
Case 7,O'Connor,Reagan,0
Case 7,Scalia,Reagan,1
Case 7,Kennedy,Reagan,1
Case 7,Souter,Bush (41),0
Case 7,Thomas,Bush (41),1
Case 7,Ginsburg,Clinton,0
Case 7,Breyer,Clinton,0
Case 8,Rehnquist,Nixon,1
Case 8,Stevens,Ford,0
Case 8,O'Connor,Reagan,1
Case 8,Scalia,Reagan,1
Case 8,Kennedy,Reagan,1
Case 8,Souter,Bush (41),1
Case 8,Thomas,Bush (41),1
Case 8,Ginsburg,Clinton,1
Case 8,Breyer,Clinton,1
Case 9,Rehnquist,Nixon,1
Case 9,Stevens,Ford,0
Case 9,O'Connor,Reagan,1
Case 9,Scalia,Reagan,1
Case 9,Kennedy,Reagan,0
Case 9,Souter,Bush (41),0
Case 9,Thomas,Bush (41),1
Case 9,Ginsburg,Clinton,0
Case 9,Breyer,Clinton,0
Case 10,Rehnquist,Nixon,0
Case 10,Stevens,Ford,0
Case 10,O'Connor,Reagan,0
Case 10,Scalia,Reagan,1
Case 10,Kennedy,Reagan,0
Case 10,Souter,Bush (41),0
Case 10,Thomas,Bush (41),1
Case 10,Ginsburg,Clinton,0
Case 10,Breyer,Clinton,0
Case 11,Rehnquist,Nixon,1
Case 11,Stevens,Ford,0
Case 11,O'Connor,Reagan,0
Case 11,Scalia,Reagan,1
Case 11,Kennedy,Reagan,0
Case 11,Souter,Bush (41),0
Case 11,Thomas,Bush (41),1
Case 11,Ginsburg,Clinton,0
Case 11,Breyer,Clinton,0
Case 12,Rehnquist,Nixon,1
Case 12,Stevens,Ford,0
Case 12,O'Connor,Reagan,1
Case 12,Scalia,Reagan,1
Case 12,Kennedy,Reagan,1
Case 12,Souter,Bush (41),0
Case 12,Thomas,Bush (41),1
Case 12,Ginsburg,Clinton,0
Case 12,Breyer,Clinton,0
Case 13,Rehnquist,Nixon,0
Case 13,Stevens,Ford,1
Case 13,O'Connor,Reagan,0
Case 13,Scalia,Reagan,0
Case 13,Kennedy,Reagan,0
Case 13,Souter,Bush (41),0
Case 13,Thomas,Bush (41),0
Case 13,Ginsburg,Clinton,0
Case 13,Breyer,Clinton,1
Case 14,Rehnquist,Nixon,1
Case 14,Stevens,Ford,0
Case 14,O'Connor,Reagan,1
Case 14,Scalia,Reagan,1
Case 14,Kennedy,Reagan,1
Case 14,Souter,Bush (41),0
Case 14,Thomas,Bush (41),1
Case 14,Ginsburg,Clinton,0
Case 14,Breyer,Clinton,0
Case 15,Rehnquist,Nixon,1
Case 15,Stevens,Ford,0
Case 15,O'Connor,Reagan,0
Case 15,Scalia,Reagan,1
Case 15,Kennedy,Reagan,1
Case 15,Souter,Bush (41),0
Case 15,Thomas,Bush (41),1
