DURAT	BELGIUM	CANADA	DENMARK	FINLAND	FRANCE	ICELAND	IRELAND	ISRAEL	ITALY	NETHER	NORWAY	PORTUG	SPAIN	SWEDEN	UK	T	POPINFL	OPPINFL	ROPINFL	PROX	IDENT	VOLAT	RESPONSE	INVEST	POLAR	FRACT	NUMST2	PARLBAS	CRISIS	FORMAT	OPPCONC	ELTIME2	ELTIMEB	ELTIMEN	CARETK2	NONPART	ELECTC	ELECTM	SINGPAR	EXTSUP	SALIEN	OPPCON2	OPPCOND	NP	DECPROX	CIEP12	CIEP24	CIEPTW
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	93	4	1	11	656	1	54	10	2	-0.86791998	0	0	1	0	0	0	0	0	0	190.44118	1	1	2.90698	33	1	1	1
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	93	4	1	11	656	1	54	24	5	-0.86791998	0	0	1	0	0	0	0	0	0	190.44118	1	1	2.90698	33	1	1	1
20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	93	5	1	11	656	1	79	7	2	-0.14103	0	0	1	0	0	0	0	0	0	190.44118	0.52381003	0	2.90698	33	1	1	1
6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	93	5	1	11	656	1	79	7	3	-0.14103	0	1	0	0	0	1	0	0	0	190.44118	0.52381003	0	2.90698	33	1	1	1
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	93	5	1	6	634	1	63	45	4	-0.58064997	1	0	0	0	0	0	0	0	0	190.44118	0.97297001	0	2.73224	33	1	1	1
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	2	62	5	1	3	599	1	50	51	1	-0.79592001	1	0	0	0	0	0	0	1	0	261.27451	0.77999997	0	2.4937699	50	1	1	1
17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	2	62	5	1	3	599	1	50	4	3	-0.79592001	0	0	1	0	0	0	0	1	0	261.27451	0.77999997	0	2.4937699	50	1	1	1
27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	2	62	5	1	3	599	1	50	6	1	-0.79592001	0	1	0	0	0	1	0	1	0	261.27451	0.77999997	0	2.4937699	50	1	0	1
49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	2	62	3	1	2	620	1	52	10	1	-0.88235003	1	0	0	0	0	1	0	0	0	261.27451	0.9375	0	2.6315801	50	0	0	0
4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	2	62	5	1	1	592	0	49	23	2	-0.83332998	1	0	0	0	0	0	0	1	0	261.27451	0.78430998	0	2.4509799	50	1	1	1
29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	2	62	3	1	1	592	1	59	2	1	-0.68966001	0	1	0	0	0	1	0	0	0	261.27451	0.97561002	0	2.4509799	50	1	0	1
49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	106	1	1	5	628	1	84	29	1	-0.13253	1	0	0	0	0	1	0	0	0	365.44116	0.6875	0	2.68817	75	0	0	0
6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	106	1	1	11	719	1	66	65	4	-0.43077001	1	0	0	0	0	0	0	0	0	365.44116	0.82353002	0	3.5587201	75	1	1	1
23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	106	3	1	11	719	1	59	38	5	-0.56897002	0	1	0	0	0	0	0	0	0	365.44116	0.80488002	0	3.5587201	75	1	1	1
41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	106	1	1	18	757	1	60	132	5	-0.52542001	1	0	0	0	0	0	0	0	0	365.44116	0.77499998	0	4.1152301	75	0	0	0
10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	3	1	24	775	1	60	73	3	-0.42372999	1	0	0	0	0	0	0	0	0	261.27451	0.625	0	4.4444399	50	1	1	1
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	2	1	24	775	1	75	61	1	-0.14865001	0	1	0	0	0	0	0	0	0	261.27451	0.44	0	4.4444399	50	1	1	1
